OBJECTID,FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Acres,Shape_Length,Shape_Area
6116,6116,641086.6307,5935.146146,5892,1139,310,5935.146089,14.71738294,0.018789082,6.32758E-06
6141,6141,291982.0321,3706.907957,6450,933,310,3706.907875,6.70301248,0.011308821,2.88133E-06
6147,6147,46476,1028.435968,6452,954,310,1028.435903,1.0669464,0.003579651,4.58646E-07
6201,6201,213243.6224,6029.901133,6466,0,0,6029.901013,4.895419717,0.019463904,2.10435E-06
6212,6212,46684.92238,777.378765,6469,932,310,777.378746,1.07174258,0.002516505,4.60702E-07
6221,6221,599782.0436,6985.858343,5915,1261,310,6985.858173,13.76915617,0.022412194,5.92002E-06
6239,6239,256648.7633,2417.925421,5863,1271,310,2417.925519,5.891868201,0.00803494,2.53325E-06
6245,6245,3224664.065,26458.22415,6477,1388,310,26458.22397,74.02839487,0.083130217,3.18196E-05
6278,6278,925116.2477,11392.78726,6484,943,310,11392.78695,21.23783233,0.035492099,9.12884E-06
6284,6284,993114.9652,10452.56961,6486,934,310,10452.56953,22.79887438,0.033789441,9.79994E-06
6287,6287,23150.87708,772.544046,6487,963,310,772.5440371,0.531473134,0.002473622,2.2846E-07
6335,6335,119466.7136,3224.014952,5984,1140,310,3224.0149,2.742588913,0.009624656,1.17913E-06
6353,6353,140116.5722,2964.663457,5988,0,0,2964.663528,3.216646422,0.009700895,1.38295E-06
6366,6366,729807.8654,8546.329705,6504,1392,310,8546.329744,16.75414989,0.024825343,7.20169E-06
6385,6385,400164.2031,5556.049055,6508,1673,310,5556.048932,9.18654229,0.01791238,3.94874E-06
6396,6396,877982.4531,9266.686353,6235,937,310,9266.686309,20.15578355,0.028301333,8.66462E-06
6507,6507,112603.1479,6680.698112,6346,1396,310,6680.698019,2.585022267,0.023693983,1.11128E-06
6513,6513,19534.58594,881.7852807,6248,1678,310,881.7852102,0.448454417,0.002778689,1.92788E-07
6518,6518,69108.50977,2200.729332,6524,1687,310,2200.72925,1.586519597,0.0069217,6.81962E-07
6520,6520,555541.7266,5083.054329,6347,0,0,5083.054205,12.75353389,0.015925176,5.48236E-06
6552,6552,3356120.452,26615.27089,6529,945,310,26615.27127,77.04623343,0.08572031,3.31158E-05
6557,6557,1602735.692,14907.95072,6024,1143,310,14907.95096,36.7938957,0.048062457,1.58181E-05
6569,6569,158154.5,1630.208983,6254,949,310,1630.209018,3.630742322,0.005117707,1.56084E-06
6593,6593,81886.13439,1630.934116,6163,1270,310,1630.934108,1.879854323,0.004822474,8.08165E-07
6639,6639,348158.5456,10628.61271,6360,1389,310,10628.61283,7.992652894,0.037494574,3.43593E-06
6678,6678,25457.17291,918.5707151,6175,1146,310,918.5706304,0.584418602,0.00310957,2.51245E-07
6712,6712,255347.3437,4269.897352,6107,0,0,4269.897258,5.861991966,0.013381416,2.52012E-06
6719,6719,49947.17424,1543.158979,6181,1151,310,1543.158809,1.146633941,0.00486703,4.92942E-07
6723,6723,2625780.897,16833.98625,6273,935,310,16833.98636,60.27987667,0.054524243,2.59123E-05
6766,6766,12501.85664,657.3489446,6278,1043,310,657.3488643,0.287004339,0.002258442,1.23386E-07
6769,6769,408458,3820.556904,6377,950,310,3820.556836,9.376943105,0.011754505,4.03091E-06
6778,6778,708166.9693,7257.218009,6121,964,310,7257.217874,16.25734209,0.023177964,6.98914E-06
6813,6813,118921.3891,3865.096458,6383,1397,310,3865.09649,2.730070111,0.013517786,1.17363E-06
6820,6820,416202.0566,5384.615536,6196,1681,310,5384.615265,9.554722589,0.017331169,4.10754E-06
6827,6827,129585.7747,2317.043364,6132,1138,310,2317.043559,2.974892265,0.007553896,1.27894E-06
6843,6843,61179,1715.492133,6389,953,310,1715.49196,1.40448198,0.005775947,6.03756E-07
6853,6853,2010709.661,13114.26402,6391,1393,310,13114.26402,46.15972697,0.043844147,1.98428E-05
6863,6863,63718.63086,1852.898602,6297,1682,310,1852.898713,1.46278428,0.005956066,6.28829E-07
6876,6876,37767.14258,874.335247,6300,1676,310,874.3353273,0.867017782,0.002812434,3.7272E-07
6881,6881,134182.5788,2166.443723,6209,938,310,2166.443852,3.080420602,0.006779231,1.32427E-06
6890,6890,357006.5,2805.512904,6304,951,310,2805.512806,8.195774112,0.008755318,3.52325E-06
6891,6891,69803.4116,2187.819881,6401,0,0,2187.819861,1.602472729,0.007514449,6.88877E-07
6914,6914,316250.6566,4201.662209,6309,1684,310,4201.662302,7.260144732,0.012932329,3.12098E-06
6938,6938,17613.24219,620.3857972,6414,1677,310,620.385699,0.404346059,0.002015089,1.73816E-07
6949,6949,92084.22266,1334.590926,6417,1686,310,1334.590913,2.113971426,0.004296839,9.08726E-07
6995,6995,502330.7123,9196.447875,6431,930,310,9196.447806,11.53197281,0.029387749,4.95708E-06
6996,6996,9754.554552,542.1032469,6331,2535,310,542.1031113,0.22393447,0.001578541,9.62694E-08
7000,7000,122222.949,2939.399864,6333,2537,310,2939.399882,2.805864541,0.010380902,1.20624E-06
7003,7003,393272.0399,6605.734188,7488,1503,310,6605.734133,9.028319375,0.022619981,3.87963E-06
7008,7008,58385.60939,1651.176342,7491,1559,310,1651.176277,1.340354488,0.005190778,5.75957E-07
7010,7010,41057.29305,1425.142824,7492,2431,310,1425.142835,0.942549587,0.004144907,4.05035E-07
7013,7013,2230919.436,10161.97899,7493,1218,310,10161.97886,51.2150677,0.03163501,2.20079E-05
7024,7024,74564.81709,3307.68947,6836,1638,310,3307.68952,1.711779533,0.009883075,7.35718E-07
7034,7034,119145.1314,2004.33819,6993,888,310,2004.338185,2.735207133,0.006624607,1.17554E-06
7037,7037,48055.69649,1301.121233,7500,1823,310,1301.121159,1.103211549,0.004267892,4.74063E-07
7041,7041,29761.83386,1118.370626,7394,1431,310,1118.370564,0.683240338,0.003585656,2.93616E-07
7045,7045,17262.10483,693.5814725,6995,0,0,693.5814194,0.396284749,0.002024305,1.70316E-07
7046,7046,49268.00831,1497.909416,7502,764,310,1497.909327,1.131042551,0.004420361,4.86019E-07
7051,7051,955705.8762,9175.367759,6842,1531,310,9175.368106,21.94007535,0.027637731,9.42972E-06
7052,7052,113029.2151,1622.149848,7503,1325,310,1622.149883,2.594804143,0.005641394,1.11499E-06
7053,7053,29867.95216,1246.447049,7288,836,310,1246.447112,0.68567649,0.003606851,2.94663E-07
7067,7067,13085.78914,571.0905172,7291,1340,310,571.0906065,0.30040958,0.001794299,1.29101E-07
7086,7086,93774.6297,2464.940609,7508,0,0,2464.940743,2.152777965,0.007921413,9.25093E-07
7091,7091,33262.57065,1346.080375,7001,1592,310,1346.080265,0.763606574,0.004378029,3.28181E-07
7094,7094,15890.4577,751.1844077,6849,0,0,751.18452,0.364796256,0.002604118,1.56792E-07
7096,7096,102083.8438,2048.265271,6743,1534,310,2048.265264,2.343532107,0.006411696,1.00732E-06
7097,7097,122085.4202,4130.572066,7297,1590,310,4130.571914,2.8027062,0.012918073,1.20439E-06
7100,7100,76094.49083,1195.847669,7511,1565,310,1195.847621,1.746896128,0.003882262,7.50645E-07
7103,7103,93785.1464,2188.635702,7298,1530,310,2188.635736,2.153019853,0.006569566,9.25231E-07
7105,7105,4646000.69,18122.44012,7405,1225,310,18122.44006,106.6579261,0.05822751,4.58288E-05
7108,7108,353777.6149,4725.312188,6745,1404,310,4725.312202,8.121648904,0.013189909,3.4908E-06
7110,7110,388657.3396,4977.503462,7004,1409,310,4977.503393,8.922380029,0.013945888,3.83461E-06
7112,7112,31446.51533,1025.301687,7513,762,310,1025.301658,0.721915372,0.002959088,3.10213E-07
7121,7121,122741.1842,2712.758601,7301,1517,310,2712.758612,2.817761165,0.008242965,1.21089E-06
7124,7124,52029.44507,927.0757412,7515,1232,310,927.0757214,1.194436365,0.00290394,5.1325E-07
7127,7127,26248.60319,1169.572378,7302,2419,310,1169.572424,0.602587269,0.003542019,2.58962E-07
7128,7128,47159.18081,1430.552596,7516,1230,310,1430.552623,1.082630039,0.004461511,4.65204E-07
7131,7131,654228.6681,5685.756583,6855,0,0,5685.756539,15.01908383,0.018045722,6.45515E-06
7137,7137,48630.15961,1505.22258,7517,1562,310,1505.222648,1.116399379,0.004960437,4.79717E-07
7145,7145,195406.6952,3779.155413,7306,1428,310,3779.155341,4.485938707,0.011293181,1.92779E-06
7151,7151,30595.49,1182.947065,7307,1345,310,1182.94705,0.702378573,0.004079708,3.01847E-07
7152,7152,318941.1375,5025.141625,7011,1399,310,5025.141505,7.32191058,0.016299722,3.14685E-06
7155,7155,197360.9705,2935.899729,7520,1577,310,2935.899641,4.530802569,0.008882015,1.94686E-06
7158,7158,1428781.55,11749.38624,6858,2412,310,11749.38616,32.80044256,0.038353204,1.40979E-05
7196,7196,20734.46923,1597.048127,7418,1514,310,1597.048173,0.476000101,0.005345942,2.04549E-07
7199,7199,95215.29077,2358.039942,6864,1633,310,2358.04003,2.185851009,0.00730455,9.39474E-07
7205,7205,38030.78374,947.8265041,7316,1518,310,947.8264325,0.873070212,0.003197498,3.75193E-07
7210,7210,57412.82987,997.241083,7529,1564,310,997.2410833,1.31802249,0.003243285,5.66354E-07
7216,7216,70408.23431,1251.369341,7022,0,0,1251.3691,1.616357055,0.003907903,6.94674E-07
7218,7218,14272.82766,638.0278348,7530,0,0,638.0278123,0.327660276,0.001954021,1.40802E-07
7229,7229,83271.74135,1946.718837,7532,1573,310,1946.718751,1.911663581,0.00600277,8.21438E-07
7234,7234,23817.39771,1359.119263,7533,1441,310,1359.11938,0.546774477,0.004161608,2.34958E-07
7241,7241,104503.6637,2930.290905,6922,876,310,2930.291102,2.399083626,0.009273796,1.0311E-06
7243,7243,185781.1621,4276.247862,7324,1427,310,4276.247862,4.264965953,0.012989284,1.83282E-06
7249,7249,148472.6991,2731.668176,7425,1516,310,2731.668315,3.408478119,0.008475393,1.46469E-06
7256,7256,35632.68359,1296.875305,6774,1643,310,1296.875368,0.818017179,0.003944865,3.51593E-07
7261,7261,73673.48469,2102.23626,6775,1545,310,2102.236235,1.691317377,0.005911199,7.26964E-07
7263,7263,66287.19373,1991.329074,7329,1415,310,1991.329116,1.521750775,0.006538404,6.53967E-07
7266,7266,295314.4716,3864.701758,7030,850,310,3864.701736,6.779514916,0.012087939,2.91363E-06
7268,7268,81429.6218,1442.469699,7330,1586,310,1442.469673,1.869374076,0.004924322,8.03324E-07
7274,7274,384092.5008,7144.925967,7331,825,310,7144.925997,8.817586001,0.023433444,3.7891E-06
7279,7279,161411.5874,3102.377406,7540,0,0,3102.377383,3.705515027,0.010736385,1.59227E-06
7282,7282,165946.6494,3076.415799,7033,1541,310,3076.415905,3.809625954,0.010660675,1.63732E-06
7289,7289,46587.68986,1968.520321,7334,1419,310,1968.520363,1.069510442,0.005979856,4.59614E-07
7291,7291,310658.8672,4293.863855,6781,896,310,4293.863764,7.131774802,0.013887393,3.06533E-06
7292,7292,136287.3601,5611.647155,7542,1410,310,5611.64704,3.128740028,0.017622352,1.34437E-06
7293,7293,7069.10111,470.446472,7335,0,0,470.4465034,0.162284862,0.001358729,6.97414E-08
7295,7295,1682373.543,14555.14044,6929,1567,310,14555.14036,38.62213725,0.045844003,1.65983E-05
7299,7299,197420.8845,3944.279299,7543,1563,310,3944.279189,4.532177698,0.012396264,1.94744E-06
7301,7301,644909.0405,4787.588497,6930,1568,310,4787.588632,14.80513378,0.015343411,6.36302E-06
7303,7303,972028.5789,5576.303538,6783,2416,310,5576.303548,22.31479508,0.017072116,9.59128E-06
